證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1533,車王電,201312,4290.4764,44.5000,0.2879,2.1292,1.8388,0.0994,0.0505,0.0920,0.0858,0.9693,198.4176,128.5781,2.4906,4.6213,172.3777,175.1642,167.2673,1
1535,中宇,201312,9812.7882,79.3000,0.4623,2.9964,0.9563,0.1877,0.0792,0.0522,0.0599,1.3693,152.6918,150.4100,108.1167,305.5328,7.6016,11.4523,19.9697,-1
1536,和大,201312,10314.7180,46.0000,0.4032,3.6023,2.7701,0.1521,0.0661,0.1242,0.1169,1.3019,149.5286,84.8891,3.4727,4.3936,15.8701,50.9367,165.8960,1
1537,廣隆,201312,6428.9295,78.8000,0.5062,2.3310,1.1289,0.2101,0.1456,0.1248,0.1017,0.4430,285.7699,150.6144,4.2680,8.2851,-15.1415,-7.9331,37.7622,1
1538,正峰,201312,1574.9300,9.6100,0.3978,1.8515,2.0285,-0.5447,-0.2039,-0.2775,-0.5968,1.6708,83.5825,70.4754,7.4161,13.4356,8.3840,-104.9786,6.5410,-1
1539,巨庭,201312,1327.0110,20.3000,0.8722,1.9043,0.6793,0.1297,0.0527,0.0442,0.0463,1.4606,131.3936,71.7360,3.4994,11.5009,771.8747,706.7808,222.2222,1
1540,喬福,201312,1653.9142,19.3500,0.4296,1.2471,1.7614,0.0886,0.0651,0.1137,0.1252,0.3616,305.0285,209.8052,2.1777,12.8227,-10.0827,21.6837,2.6525,-1
1541,錩泰,201312,1067.7400,13.5500,0.5585,1.2184,0.5809,-0.0260,-0.0127,-0.0220,-0.0124,1.0418,116.9577,73.4830,4.7481,3.1305,38.7539,71.7784,27.2300,1
1560,中砂,201312,10363.5000,73.5000,0.1411,2.8332,2.5511,0.1438,0.0992,0.1796,0.1295,0.4494,170.4397,103.4040,4.8450,5.8573,14.0102,15.2825,79.0499,1
1582,信錦,201312,7462.8487,49.8000,0.5182,1.5164,0.8227,0.1331,0.0796,0.1091,0.0722,0.6712,234.0899,213.9990,15.5205,2.5658,-5.5029,-10.9757,-1.3861,-1
1583,程泰,201312,4484.0380,46.3500,0.7849,1.0391,0.7622,0.1238,0.0545,0.0992,0.0908,1.2698,135.4370,64.5641,1.7821,4.5997,-28.6028,-3.9941,10.8852,-1
1590,亞德客-KY,201312,41261.0000,242.0000,0.7565,4.5625,5.6520,0.1908,0.1189,0.3006,0.2364,0.6052,132.1092,95.1863,4.7307,4.9132,47.7602,59.0318,44.0476,1
1603,華電,201312,4672.3950,13.6500,0.3543,0.9102,1.6097,0.0479,0.0288,0.1060,0.0847,0.6617,118.0790,88.1807,3.7425,2.5148,19.9274,-36.1653,25.2294,1
1604,聲寶,201312,6684.5862,11.8500,0.3984,0.8759,0.0000,0.0000,0.0000,0.0000,0.0000,0.5907,222.6668,126.9970,0.0000,0.0000,-100.0000,-100.0000,20.0608,-1
